key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESHLX001_05184_SEQ_00,※本任務是限期的任務。<hex:02100103><hex:02100103>米·凱特露天劇場的南瓜頭女人似乎在尋求冒險者的幫助。
1,TEXT_FESHLX001_05184_SEQ_01,※本任務僅在季節活動期間內可接受和進行。<hex:02100103> 在活動結束後將無法繼續進行，請注意。<hex:02100103> 有關活動期間等詳細資訊，請查看Lodestone。<hex:02100103><hex:02100103>南瓜頭女人說，似乎有魔物無法享受守護天節。為了了解情況，去格里達尼亞的格雷洛姆農場附近與「布爾塞爸爸」交談吧。
2,TEXT_FESHLX001_05184_SEQ_02,從布爾塞爸爸那裡得知，南瓜頭女人所說的魔物叫做菲爾考克斯。他與布爾塞爸爸組隊，但似乎沒有成功。去尋找附近的「菲爾考克斯」。
3,TEXT_FESHLX001_05184_SEQ_03,與菲爾考克斯打招呼，但他情緒激動，似乎無法聽出事情。對「菲爾考克斯」施加情感動作「安撫」。
4,TEXT_FESHLX001_05184_SEQ_04,安撫了菲爾考克斯後，他開始講話。他說雖然無法使用變化的咒語，但他擅長尋找負面情感。去與在米·凱特露天劇場的「南瓜頭女人」交談。
5,TEXT_FESHLX001_05184_SEQ_05,與南瓜頭女人交談。菲爾考克斯意識到，如果能找到並幫助那些擁有負面情感的人，就能得到充滿感激的食物。此時，布爾塞爸爸走過來，菲爾考克斯得意地展示自己，結果決定要進行一場比拼。這場戰鬥的結局將會如何呢……。
6,TEXT_FESHLX001_05184_SEQ_06,
7,TEXT_FESHLX001_05184_SEQ_07,
8,TEXT_FESHLX001_05184_SEQ_08,
9,TEXT_FESHLX001_05184_SEQ_09,
10,TEXT_FESHLX001_05184_SEQ_10,
11,TEXT_FESHLX001_05184_SEQ_11,
12,TEXT_FESHLX001_05184_SEQ_12,
13,TEXT_FESHLX001_05184_SEQ_13,
14,TEXT_FESHLX001_05184_SEQ_14,
15,TEXT_FESHLX001_05184_SEQ_15,
16,TEXT_FESHLX001_05184_SEQ_16,
17,TEXT_FESHLX001_05184_SEQ_17,
18,TEXT_FESHLX001_05184_SEQ_18,
19,TEXT_FESHLX001_05184_SEQ_19,
20,TEXT_FESHLX001_05184_SEQ_20,
21,TEXT_FESHLX001_05184_SEQ_21,
22,TEXT_FESHLX001_05184_SEQ_22,
23,TEXT_FESHLX001_05184_SEQ_23,
24,TEXT_FESHLX001_05184_TODO_00,和布爾塞爸爸對話
25,TEXT_FESHLX001_05184_TODO_01,尋找菲爾考克斯
26,TEXT_FESHLX001_05184_TODO_02,對菲爾考克斯進行「安撫」
27,TEXT_FESHLX001_05184_TODO_03,和南瓜頭女人對話
28,TEXT_FESHLX001_05184_TODO_04,
29,TEXT_FESHLX001_05184_TODO_05,
30,TEXT_FESHLX001_05184_TODO_06,
31,TEXT_FESHLX001_05184_TODO_07,
32,TEXT_FESHLX001_05184_TODO_08,
33,TEXT_FESHLX001_05184_TODO_09,
34,TEXT_FESHLX001_05184_TODO_10,
35,TEXT_FESHLX001_05184_TODO_11,
36,TEXT_FESHLX001_05184_TODO_12,
37,TEXT_FESHLX001_05184_TODO_13,
38,TEXT_FESHLX001_05184_TODO_14,
39,TEXT_FESHLX001_05184_TODO_15,
40,TEXT_FESHLX001_05184_TODO_16,
41,TEXT_FESHLX001_05184_TODO_17,
42,TEXT_FESHLX001_05184_TODO_18,
43,TEXT_FESHLX001_05184_TODO_19,
44,TEXT_FESHLX001_05184_TODO_20,
45,TEXT_FESHLX001_05184_TODO_21,
46,TEXT_FESHLX001_05184_TODO_22,
47,TEXT_FESHLX001_05184_TODO_23,
48,TEXT_FESHLX001_05184_PUMPKIN_000_000,呵……呵呵……<hex:02100103>你……好久不見了。<hex:02100103>正好有件想請你幫忙的事，可以嗎？
49,TEXT_FESHLX001_05184_PUMPKIN_000_001,呵……呵呵……<hex:02100103>你……是冒險者呢。<hex:02100103>正好有件想請你幫忙的事，可以嗎？
50,TEXT_FESHLX001_05184_PUMPKIN_000_010,謝謝……。<hex:02100103>那麼，在解釋請求的內容之前，請讓我談談<hex:02100103>守護天節。
51,TEXT_FESHLX001_05184_PUMPKIN_000_011,傳說中，在守護天節的慶典期間，<hex:02100103>聖人們在天上的宮殿中，飲酒作樂，舉辦盛宴。<hex:02100103>另一方面，在加護減弱的地面上，魔物們在大肆橫行。
52,TEXT_FESHLX001_05184_PUMPKIN_000_012,曾經的人們在夜晚都會閉門不出。<hex:02100103>但是，隨著冒險者的活躍，城市變得安全，<hex:02100103>人們開始舉辦愉快而歡樂的慶典……。
53,TEXT_FESHLX001_05184_PUMPKIN_000_013,總之，現在的守護天節是屬於人類的。<hex:02100103>但我希望魔物們也能享受這個慶典……<hex:02100103>我想讓它成為『人和魔物都能享受的守護天節』。
54,TEXT_FESHLX001_05184_PUMPKIN_000_014,所以，我與魔物們簽訂了『契約』，以確保它們不會傷害人類，<hex:02100103>讓它們參與守護天節。<hex:02100103>不過……其中有些孩子有問題。
55,TEXT_FESHLX001_05184_PUMPKIN_000_015,希望你能幫助那個孩子解決煩惱，<hex:02100103>幫助人類……不，我是說幫助魔物。
56,TEXT_FESHLX001_05184_PUMPKIN_000_016,具體情況，請去格雷洛姆農場入口附近，向正在表演的<hex:02100103>『布爾塞爸爸』詢問。<hex:02100103>拜託了……嗚哈哈……嗚哈哈哈……。
57,TEXT_FESHLX001_05184_PUMPKIN_000_020,嗚哈哈……嗚哈哈哈……<hex:02100103>事情是向『布爾塞爸爸』詢問的。<hex:02100103>他正在格雷洛姆農場入口附近表演。
58,TEXT_FESHLX001_05184_PIERROTFATHER_000_030,雖然有些不捨，但表演到此結束。<hex:02100103>就讓那邊的菲爾考克斯來結束這個變化的魔法吧！
59,TEXT_FESHLX001_05184_PIERROTFATHER_000_031,(-不滿的少年-)…………什麼都沒發生。<hex:02100103>小丑叔叔很有趣，但<hex:02100103>現在變得無聊了……我們回家吧。
60,TEXT_FESHLX001_05184_PIERROTFATHER_000_032,你到底要多少次才能成功這個變化的魔法！<hex:02100103>都是因為你，誰都沒有感謝我！
61,TEXT_FESHLX001_05184_PHILCOX_000_033,(-怒火中燒的魔物-)你說什麼魔法，魔法的，真煩人！<hex:02100103>就因為你稍微會一點，就在這裡嘲笑我！
62,TEXT_FESHLX001_05184_PHILCOX_100_033,(-怒火中燒的魔物-)我再也不想看到你的臉了！<hex:02100103>這場表演我可不想再繼續了！<hex:02100103>再見了！
63,TEXT_FESHLX001_05184_PIERROTFATHER_000_040,不知道是何因緣，居然又要見到你……。<hex:02100103>你可不是來玩耍的吧，<hex:02100103>快說出你的目的。
64,TEXT_FESHLX001_05184_PIERROTFATHER_000_041,嗯，看起來你並不是來觀看我的表演的。<hex:02100103>像是冒險者……你有什麼事？
65,TEXT_FESHLX001_05184_PIERROTFATHER_000_050,原來如此，無法享受守護天節的魔物啊……。<hex:02100103>大概是剛才的魔物，菲爾考克斯吧。
